week,seller_name,title, price ,review_count,ratings,listings,total,sov
10/30/2023,Amazon.com,"Yamaha Steinberg UR12 USB Audio Interface, small",$97.00 ,,,2,7,29%
10/30/2023,Amazon.com,"Yamaha Steinberg UR12 USB Audio Interface, small",$114.99 ,,,3,7,43%
10/30/2023,Target,Arturia MiniFuse 2 USB-C Audio Interface,$149.99 ,45,4.7,2,10,20%
10/30/2023,Amazon.com - Seller,Arturia MiniFuse 2 USB-C Audio Interface,$118.33 ,45,4.7,2,10,20%
10/30/2023,Amazon.com - Seller,Arturia MiniFuse 2 USB-C Audio Interface,$118.54 ,45,4.7,4,10,40%
10/30/2023,Sweetwater,Arturia MiniFuse 2 USB-C Audio Interface,$149.00 ,43,4.7,1,10,10%
10/30/2023,Amazon.com - Seller,Arturia MiniFuse 2 USB-C Audio Interface,$120.60 ,43,4.7,1,10,10%
10/30/2023,Temu,"Audio Interface Podcast Equipment Caster-All In One - Portable Podcast Production Studio With Premium Mic Preamp For Podcast Recording, Streaming,",$22.65 ,,,2,11,18%
10/30/2023,Temu,"Audio Interface Podcast Equipment Caster-All In One - Portable Podcast Production Studio With Premium Mic Preamp For Podcast Recording, Streaming,",$20.47 ,,,7,11,64%
10/30/2023,Temu,"Audio Interface Podcast Equipment Caster-All In One - Portable Podcast Production Studio With Premium Mic Preamp For Podcast Recording, Streaming,",$14.20 ,,,2,11,18%
10/30/2023,Amazon.com,BEHRINGER U-PHORIA UMC404HD,$179.00 ,635,4.7,8,11,73%
10/30/2023,Amazon.com,BEHRINGER U-PHORIA UMC404HD,$179.00 ,709,4.7,3,11,27%
10/30/2023,Amazon.com - Seller,BEHRINGER UMC404HD,$179.00 ,592,4.7,1,5,20%
10/30/2023,Amazon.com - Seller,BEHRINGER UMC404HD,$179.00 ,591,4.7,4,5,80%
10/30/2023,Sweetwater,Behringer U-Phoria UMC1820 USB Audio Interface,$299.00 ,25,4.8,9,9,100%
